arrest_month,0,1,2
2018-01-01T00:00:00Z,1034,15,72
2018-02-01T00:00:00Z,1022,14,66
2018-03-01T00:00:00Z,1100,18,65
2018-04-01T00:00:00Z,1102,16,63
2018-05-01T00:00:00Z,1246,10,67
2018-06-01T00:00:00Z,1203,18,63
2018-07-01T00:00:00Z,1193,12,65
2018-08-01T00:00:00Z,1313,16,68
2018-09-01T00:00:00Z,1125,9,63
2018-10-01T00:00:00Z,1243,17,33
2018-11-01T00:00:00Z,1026,15,49
2018-12-01T00:00:00Z,1005,17,57
2019-01-01T00:00:00Z,1063,19,61
2019-02-01T00:00:00Z,848,17,64
2019-03-01T00:00:00Z,1127,14,62
2019-04-01T00:00:00Z,1161,12,77
2019-05-01T00:00:00Z,1296,15,72
2019-06-01T00:00:00Z,1204,12,78
2019-07-01T00:00:00Z,1351,13,79
2019-08-01T00:00:00Z,1223,13,62
2019-09-01T00:00:00Z,1140,15,64
2019-10-01T00:00:00Z,1129,21,61
2019-11-01T00:00:00Z,1122,8,50
2019-12-01T00:00:00Z,947,14,71
2020-01-01T00:00:00Z,1162,17,81
2020-02-01T00:00:00Z,1010,23,50
2020-03-01T00:00:00Z,1067,15,78
2020-04-01T00:00:00Z,731,13,42
2020-05-01T00:00:00Z,1112,14,52
2020-06-01T00:00:00Z,935,5,49
2020-07-01T00:00:00Z,981,5,47
2020-08-01T00:00:00Z,1060,12,52
2020-09-01T00:00:00Z,1069,6,34
2020-10-01T00:00:00Z,1145,18,59
2020-11-01T00:00:00Z,942,9,60
2020-12-01T00:00:00Z,1065,26,48
2021-01-01T00:00:00Z,1077,25,57
2021-02-01T00:00:00Z,935,17,63
2021-03-01T00:00:00Z,1171,20,60
2021-04-01T00:00:00Z,967,17,54
2021-05-01T00:00:00Z,1163,23,66
2021-06-01T00:00:00Z,1282,16,51
2021-07-01T00:00:00Z,1313,11,66
2021-08-01T00:00:00Z,1277,20,72
2021-09-01T00:00:00Z,1311,13,65
2021-10-01T00:00:00Z,1407,21,65
2021-11-01T00:00:00Z,1174,19,83
2021-12-01T00:00:00Z,1163,19,72
2022-01-01T00:00:00Z,1217,16,64
2022-02-01T00:00:00Z,1235,14,67
2022-03-01T00:00:00Z,1383,20,65
2022-04-01T00:00:00Z,1409,22,82
2022-05-01T00:00:00Z,1485,22,83
2022-06-01T00:00:00Z,1571,18,102
2022-07-01T00:00:00Z,1561,19,75
2022-08-01T00:00:00Z,1584,13,80
2022-09-01T00:00:00Z,1500,20,74
2022-10-01T00:00:00Z,1513,18,78
2022-11-01T00:00:00Z,1425,20,73
2022-12-01T00:00:00Z,1385,24,62
2023-01-01T00:00:00Z,1609,21,75
2023-02-01T00:00:00Z,1357,21,68
2023-03-01T00:00:00Z,1577,22,66
2023-04-01T00:00:00Z,1654,18,73
2023-05-01T00:00:00Z,1662,25,94
2023-06-01T00:00:00Z,1762,24,87
2023-07-01T00:00:00Z,1758,23,108
2023-08-01T00:00:00Z,1730,25,90
2023-09-01T00:00:00Z,1636,30,56
2023-10-01T00:00:00Z,1618,29,110
2023-11-01T00:00:00Z,1537,24,83
2023-12-01T00:00:00Z,1484,18,78
2024-01-01T00:00:00Z,1539,27,85
2024-02-01T00:00:00Z,1551,21,67
2024-03-01T00:00:00Z,1706,26,100
2024-04-01T00:00:00Z,1665,22,77
2024-05-01T00:00:00Z,1841,23,120
2024-06-01T00:00:00Z,1932,32,98
2024-07-01T00:00:00Z,1961,33,83
2024-08-01T00:00:00Z,1807,27,76
2024-09-01T00:00:00Z,1760,23,61
